doc_id,headline,content
2025031521770929053,百胜中国:3 月 13 日斥资超千万回购股票,百胜中国：3 月 13 日斥资超千万回购股票
1fa0f7df8ed4e448eaa453479c06763b,航宇微(300053.SZ)：正加快推动“珠海一号”04组卫星的相关事项, 格隆汇11月3日丨航宇微(300053.SZ)在投资者互动平台表示，公司正加快推动“珠海一号”04组卫星的相关事项，有关卫星的建设和发射安排等情况请留意公司后续公告。 
190955ed705bd99ec85e77c7ebd21fc3,澜起科技今起招股，入场费10797港元,1月30日，中国芯片设计公司、沪交所上市的澜起科技(6809.HK)今日起至下周三(2月4日)招股，发售6589万股H股，香港公开发售占10%，其余为国际配售，每股招股价将不高于106.89港元，集资最多70.43亿港元。一手100股，入场费10796.8港元。该股预期2月9日挂牌。中金公司、摩根士丹利及瑞银集团为联席保荐人。公司拟将所得款项净额中，约70%将在未来5年内用于投资互连类芯片领域的研发，提升集团的全球领先地位，把握云计算和AI基础设施领域的机遇；约5%将用于提高集团的商业化能力；约15%将用于战略投资及/或收购，以实现长期增长策略；及约10%将用于营运资金及一般公司用途。基石投资者共投资4.5亿美元，当中包括摩根大通投资管理(JPMIMI)、瑞银资产管理、云锋基金及阿里巴巴等。港股频道更多独家策划、专家专栏，免费查阅>>责任编辑：栎树
